Ecotype,Recording,Maximum.Frequency..kHz.,Minimum.Frequency..kHz.,Fundamental.frequency.Start..kHz.,Fundamental.frequency.End..kHz.,Delta.Frequency..kHz.,Peak.Frequency..kHz.,Duration..s.
Coastal,DR0000_0366.wavsel.54-01,11.34373261,9.112630907,11.34373261,10.00935637,2.231101703,9.28125,0.45
Coastal,3-10ZOOM310sel.02,18.02413106,11.00179828,13.40355316,18.02413106,7.02233278,12.10166016,0.406
Coastal,Cc 000_0057sel.21-03,16.17138299,9.018091299,10.11428773,16.17138299,7.153291691,9.796875,0.187
Coastal,3-10ZOOM314sel.10,14.71774687,3.871312039,4.916639794,3.871312039,10.84643483,6.2015625,0.798
Coastal,Cc 000_0017sel.12,17.08707348,9.326360504,10.48898376,17.08707348,7.760712976,10.42207031,0.595
Coastal,PR_21042017_77sel.08,21.41832019,5.277831801,6.797471438,20.47207494,16.14048839,7.92421875,1.031
Coastal,12-17ZOOM0096sel.01,16.89145522,8.124340841,8.124340841,16.89145522,8.767114379,14.59951172,0.681
Coastal,3-15ZOOM372sel.03,20.52451631,7.184733899,7.184733899,20.52451631,13.33978241,14.08271484,0.343
Coastal,12-18ZOOM0093sel.23-2,13.12783066,5.342890731,8.309971103,7.647009208,7.784939929,8.828613281,0.766
Coastal,12-15ZOOM0100sel.62,21.73187071,3.032433045,3.064112511,21.73187071,18.69943767,5.770898438,0.673
Coastal,3-15ZOOM372sel.17,13.75636404,8.753202009,8.937044625,13.75636404,5.003162031,9.345410156,0.215
Coastal,12-18ZOOM0100sel.01,13.16212991,7.2079076,7.497522832,13.16212991,5.95422231,7.472021484,0.791
Coastal,ZOOM0254sel.24,20.31231596,18.69181797,20.31231596,18.69181797,1.62049799,19.29375,0.29
Coastal,3-15ZOOM372sel.34,11.95560555,5.072345815,5.072345815,11.95560555,6.883259735,7.192089844,0.526
Coastal,PR_19042017_58sel.01,12.4817968,5.288093948,6.815491675,12.36057637,7.193702852,7.364355469,0.614
Coastal,3-10ZOOM314sel.24,16.58618237,6.052546617,8.844645667,6.441975495,10.53363575,15.07324219,1.853
Coastal,3-15ZOOM372sel.37,10.83162077,5.098772073,5.098772073,10.83162077,5.732848697,7.838085938,0.358
Coastal,12-15ZOOM0100sel.57,16.24499047,4.141864121,4.141864121,16.0770356,12.10312635,7.450488281,0.688
Coastal,PR_10042018_274sel.01,17.76272263,6.6645251,7.32034551,17.76272263,11.09819753,7.265625,0.162
Coastal,3-10ZOOM314sel.20-02,15.34246988,4.815500328,6.11577685,9.124748469,10.52696955,9.216210938,0.848
Coastal,2018_0171sel.04,13.04729872,5.415874187,5.68393952,13.04729872,7.631424533,6.234375,0.534
Coastal,Cc 000_0030sel.03.,17.77453492,7.818496832,7.818496832,17.77453492,9.956038088,14.71875,0.952
Coastal,12-15ZOOM0100sel.47,18.40269006,2.363020662,2.363020662,18.30731136,16.0396694,9.345410156,1.344
Coastal,ZOOM0254sel.14,21.06476653,8.224055377,8.707835328,21.06476653,12.84071115,10.59433594,0.285
Coastal,2018_0154sel.16,14.937127,7.522090591,8.205482919,12.31242359,7.415036409,7.6875,1.154
Coastal,2018_0143sel.30_1,15.83758132,9.402237937,13.54414429,15.83758132,6.435343383,11.296875,0.428
Coastal,ZOOM0254sel.20,14.192017,5.398707273,5.398707273,13.90007513,8.793309727,9.431542969,0.565
Coastal,3-10ZOOM310sel.06,14.7944244,8.181431193,8.309971103,14.7944244,6.612993207,9.000878906,0.252
Coastal,3-15ZOOM372sel.01,13.19622494,8.707835328,9.220073628,13.19622494,4.488389612,9.603808594,0.043
Coastal,12-17ZOOM0096sel.05,14.30917214,8.447762159,8.447762159,14.30917214,5.861409981,9.689941406,0.396
Coastal,ZOOM072sel.03,17.20060183,5.627865765,5.657186209,17.20060183,11.57273607,8.914746094,0.845
Coastal,3-10ZOOM0310sel.16,19.55432605,5.552532266,5.606986065,19.55432605,14.00179378,10.12060547,0.269
Coastal,Cc 000_0020sel.01-02,8.204016419,5.445206064,8.204016419,7.44119462,2.758810355,5.813964844,0.469
Coastal,PR_18042017_47sel.02,11.37773441,5.57190622,11.37773441,5.57190622,5.80582819,6.761425781,0.755
Coastal,12-15ZOOM0100sel.22-2,17.83778188,4.916639794,4.942254844,17.74533103,12.92114209,8.311816406,0.654
Coastal,12-15ZOOM0100sel.15/14,14.4900905,12.52801521,14.26595555,12.59328453,1.96207529,13.91044922,0.137
Coastal,12-15ZOOM0100sel.49,19.28377279,4.05666245,4.340168007,19.28377279,15.22711034,4.866503906,1.245
Coastal,2018_0143sel.14_1,6.526959278,4.925199063,4.976831539,5.880569392,1.601760215,6.375,0.393
Coastal,12-15ZOOM0100sel.1-56,18.88708917,7.489703719,8.266901629,18.88708917,11.39738545,8.311816406,0.903
Coastal,3-12ZOOM0350,15.99371047,6.179667641,9.220073628,9.661511678,9.814042829,14.94404297,0.256
Coastal,2018_0154sel.06,20.34907692,5.794844689,6.507226381,20.34907692,14.55423223,6.28125,0.549
Coastal,DR0000_0366.wavsel.66,10.9943238,6.948416095,7.79303262,10.88026244,4.045907705,8.859375,0.621
Coastal,3-10ZOOM310sel.37,11.89364124,9.030408864,9.030408864,11.83199808,2.863232376,10.68046875,0.153
Coastal,Cc 000_0012sel.05,17.08707348,5.829446786,7.373433546,17.08707348,11.25762669,6.115429688,0.331
Coastal,PR_21042017_77sel.23,14.65371153,3.420341927,3.482723061,5.422875975,11.2333696,9.130078125,0.95
Coastal,3-18ZOOM0093sel.12-2,17.91007402,5.830194182,5.887371016,17.39330944,12.07987984,8.26875,0.724
Coastal,3-10ZOOM310sel.23,12.01789269,10.07161308,10.07161308,11.83199808,1.94627961,11.49873047,0.155
Coastal,3-18ZOOM0431sel.04,16.24476837,8.784058534,8.870203976,16.24476837,7.460709836,11.28339844,0.129
Coastal,Cc 000_0017sel.25-01,19.5676341,6.797471438,7.047680809,19.5676341,12.77016266,8.096484375,0.757
Coastal,12-18ZOOM0093sel.38,17.47084352,4.691996699,4.691996699,17.47084352,12.77884682,7.536621094,0.698
Coastal,12-15ZOOM0100sel.42,20.84698061,6.309458575,12.46308418,20.84698061,14.53752204,8.9578125,1.171
Coastal,PR_21022018_118sel.03,8.383214161,5.188831289,5.243227509,8.383214161,3.194382872,6.46875,0.326
Coastal,2018_0128sel.38,19.20293695,2.183876119,2.183876119,8.611623357,17.01906083,1.96875,1.865
Coastal,2018_0241sel.03,18.1637763,5.783576991,7.315291044,14.14451783,12.38019931,5.8125,0.93
Coastal,Cc 000_0030sel.15,14.937127,5.261142175,5.363797712,9.485206485,9.675984825,6,1.019
Coastal,DR0000_0366.wavsel.54-02,19.95962424,9.485206485,9.485206485,19.95962424,10.47441776,10.03125,0.288
Coastal,ZOOM0139sel.07,20.31231596,5.455106924,6.856460743,19.58674355,14.85720904,11.7140625,0.595
Coastal,PR_21042017_79sel.01-02,14.59120906,9.31377057,9.31377057,14.59120906,5.27743849,10.50820313,0.296
Coastal,3-9ZOOM294sel.07,21.28482763,6.375372736,6.375372736,21.28482763,14.90945489,12.36005859,0.748
Coastal,ZOOM0072sel.02,13.26497554,5.426833831,6.856460743,13.12783066,7.838141709,8.61328125,0.879
Coastal,3-15ZOOM372sel.22,12.65889389,5.776003518,12.65889389,5.776003518,6.882890372,10.68046875,0.96
Coastal,PR_21042017_77sel.22,19.92451398,7.854937466,11.79653952,19.92451398,12.06957651,8.053417969,0.751
Coastal,3-10ZOOM314sel.16,13.75636404,11.83199808,13.19622494,13.75636404,1.92436596,11.92939453,0.177
Coastal,12-17ZOOM0091sel.15,13.19622494,5.098772073,5.098772073,13.19622494,8.097452867,7.278222656,0.792
Coastal,3-15ZOOM372sel.30,12.01789269,7.971601191,8.844645667,12.01789269,4.046291499,8.397949219,0.207
Coastal,PR_21042017_77sel.04-02,14.44950249,13.62770048,13.76134762,14.44950249,0.82180201,13.78125,0.043
Coastal,12-17ZOOM0091sel.01,15.02686222,5.80609574,5.80609574,15.02686222,9.22076648,10.29287109,0.393
Coastal,3-15ZOOM372sel.31,12.65889389,4.547966272,5.342890731,12.65889389,8.110927618,4.47890625,0.228
Coastal,12-18ZOOM0093sel.59,15.99371047,5.776003518,5.866751329,15.99371047,10.21770695,6.976757813,0.596
Coastal,12-14ZOOM0098sel.02,11.46879072,7.184733899,7.184733899,11.46879072,4.284056821,7.795019531,0.305
Coastal,3-10ZOOM0310sel.46_1,12.60420603,9.223317308,11.21127137,12.60420603,3.380888722,9.474609375,0.208
Coastal,DR0000_0366.wavsel.17,12.33074169,6.876329281,7.169242569,12.07621663,5.454412409,7.3125,0.215
Coastal,DR0000_0366.wavsel.68,18.12135208,6.321314339,6.321314339,17.60362343,11.80003774,12.46875,0.412
Coastal,DR0000_0366.wavsel.38-02,13.26457278,8.296241936,8.383214161,13.26457278,4.968330844,11.296875,0.438
Coastal,2018_0241sel.07,11.34373261,6.804990336,9.018091299,11.34373261,4.538742274,7.40625,0.529
Coastal,3-18ZOOM0093sel.34,14.16117409,8.343636752,14.16117409,12.37203818,5.817537338,11.92939453,0.476
Coastal,3-10ZOOM310sel.48,21.61923732,7.37385183,7.37385183,21.61923732,14.24538549,15.71923828,0.265
Coastal,Cc 000_0030sel.11,10.85908561,8.285148978,8.44680901,10.85908561,2.573936632,8.34375,0.384
Coastal,PR_21042017_77sel.11-03,8.784058534,8.698749716,8.698749716,8.784058534,0.085308818,8.699414063,0.085
Coastal,3-18ZOOM0093sel.10,11.56411086,5.113521676,5.113521676,11.56411086,6.450589184,8.720947266,0.702
Coastal,2018_0128sel.07,18.71351184,7.32034551,9.018091299,13.97458852,11.39316633,9.046875,0.636
Coastal,Cc 000_0030sel.13,12.79759179,6.260531582,11.39656937,12.67453623,6.537060208,7.265625,0.697
Coastal,2018_0143sel.08_1,12.92184209,6.962563186,6.962563186,12.79759179,5.959278904,7.734375,0.751
Coastal,Cc 000_0030sel.10,13.82603536,5.68393952,5.68393952,9.214213284,8.14209584,6.1875,0.895
Coastal,3-10ZOOM310sel.01-1,17.29021471,6.276757491,6.276757491,17.29021471,11.01345722,12.05859375,0.638
Coastal,PR_18042017_49sel.01,21.80895338,8.995252604,17.39871221,13.26709507,12.81370078,17.95869141,1.177
Coastal,12-14ZOOM0098sel.03,15.17206948,6.683753433,6.74930114,15.17206948,8.488316047,7.622753906,0.849
